Created	03/05/16 16:44:33
Calibration	antiwindup1_013_000

Timestamp (mS)	Accelerator_Pedal_Position	Electronic_Throttle_feedback	Error	
     11030	19.85	20.10	-0.27	
     11092	19.95	20.10	-0.24	
     11154	19.85	20.10	-0.24	
     11217	19.85	20.10	-0.14	
     11279	19.85	20.10	-0.24	
     11342	19.95	20.22	-0.24	
     11404	19.85	20.10	-0.24	
     11466	19.85	20.10	-0.14	
     11529	19.85	20.10	-0.24	
     11591	19.85	20.10	-0.24	
     11654	19.95	20.10	-0.14	
     11716	19.85	20.10	-0.24	
     11779	19.95	20.10	-0.14	
     11841	19.95	20.10	-0.14	
     11903	19.95	20.22	-0.27	
     11966	19.95	20.10	-0.14	
     12028	19.95	20.10	-0.14	
     12091	19.95	20.22	-0.14	
     12153	19.85	20.10	-0.27	
     12215	19.85	20.10	-0.24	
     12278	19.95	20.10	-0.14	
     12340	19.85	20.10	-0.27	
     12403	19.85	20.10	-0.24	
     12465	19.85	20.10	-0.24	
     12527	19.95	20.22	-0.27	
     12590	19.95	20.10	-0.14	
     12652	19.85	20.10	-0.24	
     12715	19.85	20.10	-0.24	
     12777	19.85	20.10	-0.24	
     12839	19.85	20.10	-0.14	
     12902	19.85	20.10	-0.14	
     12964	19.85	20.10	-0.24	
     13027	19.95	20.22	-0.27	
     13089	19.95	20.10	-0.14	
     13151	19.85	20.10	-0.24	
     13214	19.85	20.22	-0.24	
     13276	19.85	20.22	-0.14	
     13339	19.85	20.10	-0.14	
     13401	19.95	20.22	-0.24	
     13463	19.95	20.22	-0.27	
     13526	19.85	20.22	-0.27	
     13588	19.85	20.10	-0.24	
     13651	19.95	20.10	-0.24	
     13713	19.85	20.10	-0.37	
     13775	19.85	20.10	-0.14	
     13838	19.85	20.10	-0.24	
     13900	19.95	20.22	-0.24	
     13963	19.85	20.10	-0.14	
     14025	19.85	20.10	-0.14	
     14087	19.95	20.22	-0.24	
     14150	19.95	20.22	-0.24	
     14212	19.85	20.10	-0.14	
     14275	19.95	20.10	-0.14	
     14337	19.85	20.10	-0.24	
     14399	19.85	20.10	-0.14	
     14462	19.85	20.10	-0.27	
     14524	19.95	20.10	-0.14	
     14587	19.95	20.22	-0.27	
     14649	19.95	20.22	-0.27	
     14711	19.85	20.10	-0.14	
     14774	19.95	20.10	-0.24	
     14836	19.85	20.10	-0.24	
     14899	19.85	20.10	-0.14	
     14961	19.85	20.10	-0.14	
     15023	19.85	20.10	-0.24	
     15086	19.95	20.10	-0.24	
     15148	19.85	20.10	-0.24	
     15211	19.95	20.22	-0.14	
     15273	19.85	20.10	-0.24	
     15335	19.85	20.10	-0.24	
     15398	19.85	20.10	-0.24	
     15460	19.95	20.10	-0.24	
     15523	19.85	20.10	-0.14	
     15585	19.95	20.22	-0.27	
     15647	19.95	20.10	-0.14	
     15710	19.95	20.10	-0.24	
     15772	19.85	20.10	-0.24	
     15835	19.95	20.10	-0.27	
     15897	19.85	20.10	-0.24	
     15959	19.95	20.10	-0.24	
     16022	19.85	20.10	-0.24	
     16084	19.85	20.10	-0.24	
     16147	19.85	20.10	-0.14	
     16209	19.95	20.10	-0.24	
     16271	19.85	20.10	-0.14	
     16334	19.85	20.10	-0.14	
     16396	19.85	20.10	-0.14	
     16459	19.95	20.10	-0.24	
     16521	19.85	20.10	-0.24	
     16583	19.95	20.22	-0.14	
     16646	19.95	20.10	-0.14	
     16708	19.95	20.22	-0.27	
     16771	19.85	20.10	-0.14	
     16833	19.85	20.10	-0.24	
     16895	18.68	20.10	-0.99	
     16958	11.44	14.46	-1.56	
     17020	0.00	1.28	-2.75	
     17083	0.00	-0.64	-2.56	
     17145	0.00	-0.90	-2.18	
     17207	1.56	-1.41	-0.38	
     17270	14.87	13.31	2.11	
     17332	30.71	27.52	2.06	
     17395	48.70	40.32	6.22	
     17457	69.63	51.58	14.28	
     17519	85.18	62.85	21.49	
     17582	89.00	72.19	18.88	
     17644	88.22	81.54	8.89	
     17707	83.13	85.38	-1.92	
     17769	70.22	73.47	-3.64	
     17831	47.34	50.82	-5.96	
     17894	23.28	28.67	-5.69	
     17956	0.10	5.89	-2.38	
     18019	0.00	3.20	0.38	
     18081	0.00	2.30	-2.18	
     18143	6.45	3.71	0.23	
     18206	24.35	16.13	7.02	
     18268	48.61	31.23	14.96	
     18331	72.76	43.90	25.84	
     18393	92.52	55.04	36.25	
     18455	100.05	65.79	34.93	
     18518	100.05	75.90	27.47	
     18580	97.90	84.35	17.06	
     18643	93.59	92.16	5.08	
     18705	84.30	86.27	0.07	
     18767	60.15	66.94	0.78	
     18830	30.42	32.38	0.89	
     18892	2.35	2.05	-4.48	
     18955	0.00	1.02	-3.07	
     19017	0.00	0.38	-2.43	
     19079	1.27	-1.92	-1.66	
     19142	19.66	11.26	5.85	
     19204	40.88	27.26	10.20	
     19267	61.61	40.45	17.52	
     19329	84.11	52.61	27.16	
     19391	95.36	63.87	32.09	
     19454	99.85	73.09	28.55	
     19516	100.05	83.07	19.82	
     19579	100.05	91.26	11.66	
     19641	99.85	98.69	3.03	
     19703	97.90	98.30	-0.78	
     19766	92.71	93.18	-1.36	
     19828	84.60	84.35	-0.44	
     19891	75.70	76.93	-1.26	
     19953	63.47	63.49	-0.45	
     20015	44.89	45.57	-1.48	
     20078	25.13	24.70	-1.48	
     20140	4.79	4.61	-1.18	
     20203	0.00	-0.64	2.94	
     20265	0.00	1.79	1.92	
     20327	9.10	3.97	4.31	
     20390	24.84	18.18	5.19	
     20452	42.64	32.90	8.25	
     20515	63.37	45.06	20.95	
     20577	79.61	57.34	20.95	
     20639	92.03	67.07	24.85	
     20702	98.68	76.80	23.13	
     20764	99.76	85.89	16.65	
     20827	100.05	93.82	8.69	
     20889	99.95	99.46	0.47	
     20951	99.85	99.07	0.40	
     21014	95.65	98.30	-1.19	
     21076	90.86	93.31	-1.85	
     21139	84.79	87.30	-1.74	
     21201	76.19	79.87	-2.38	
     21263	66.21	68.74	-3.53	
     21326	51.15	53.89	-4.23	
     21388	35.60	37.25	-3.29	
     21451	29.44	28.80	-2.78	
     21513	29.63	30.59	-0.99	
     21575	29.83	30.59	-0.86	
     21638	33.35	32.90	0.67	
     21700	40.88	39.30	1.18	
     21763	49.78	47.36	1.69	
     21825	60.83	58.50	1.79	
     21887	75.01	69.63	4.27	
     21950	87.04	78.59	8.26	
     22012	96.53	87.17	9.40	
     22075	100.05	94.72	6.66	
     22137	100.05	99.07	0.75	
     22199	100.05	99.46	0.59	
     22262	96.82	98.82	-0.94	
     22324	88.41	91.26	-2.22	
     22387	72.67	76.54	-4.78	
     22449	45.18	50.69	-5.83	
     22511	19.95	26.50	-4.28	
